District,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Taplejung,243,243,219,220,317,303,318,311,443,447,458,463,471
Sankhuwasabha,179,179,164,198,262,268,290,326,468,469,481,487,495
Solukhumbu,134,134,31,141,221,204,115,204,234,234,240,243,247
Panchthar,411,411,74,301,359,342,393,342,579,583,598,606,617
Illam,365,365,213,191,430,543,522,545,698,714,732,742,754
Dhankuta,217,217,201,224,287,331,343,353,412,409,420,425,432
Terhathum,282,282,214,195,228,244,249,250,297,296,303,307,312
Bhojpur,258,258,101,218,268,321,306,374,386,416,425,430,437
Okhaldhunga,212,212,119,188,250,233,273,298,411,412,422,427,434
Khotang,229,229,175,516,91,324,391,360,516,518,532,539,548
Udayapur,415,415,180,224,328,415,477,415,529,727,746,756,769
Jhapa,1030,1030,888,933,1033,1152,1127,1417,2079,2065,2116,2144,2182
Morang,1022,1022,1007,602,1006,871,964,914,917,922,948,960,977
Sunsari,740,740,428,579,759,781,663,786,890,916,939,952,968
Saptari,281,281,132,298,95,306,207,306,486,509,520,527,536
Siraha,277,277,210,245,268,326,278,326,345,363,372,377,383
Dolakha,146,146,152,179,260,300,382,298,486,508,520,527,537
Sindhupalchok,209,209,141,235,252,433,312,433,615,616,631,640,652
Rasuwa,55,55,46,55,57,69,75,69,108,127,130,132,134
Sindhuli,155,155,192,237,234,406,446,447,633,657,675,684,696
Ramechhap,158,158,131,172,283,359,441,436,578,580,595,603,614
Kavrepalanchok,656,656,518,739,803,1162,933,1162,1469,1442,1476,1497,1526
Nuwakot,205,205,202,252,326,367,391,414,423,463,475,482,491
Dhading,207,207,208,231,167,561,162,598,726,781,802,813,828
Makwanpur,371,371,191,353,417,616,393,630,777,792,811,823,839
Lalitpur,1454,1454,862,1367,1311,1633,1387,1633,1633,1636,1676,1700,1735
Bhaktapur,772,772,631,794,407,1141,822,1141,1175,1176,1209,1226,1252
Kathmandu,4056,4056,3768,3329,2244,5275,3527,5275,5275,5281,5411,5492,5617
Dhanusa,536,536,239,201,209,345,246,345,342,343,351,355,361
Mahottari,264,264,210,244,240,311,262,311,310,324,333,337,342
Sarlahi,328,328,26,208,275,342,375,347,426,427,437,442,449
Rautahat,184,184,136,223,218,363,174,263,280,321,330,335,340
Bara,251,251,295,369,100,374,308,374,374,375,384,389,395
Parsa,352,352,176,332,284,382,284,382,386,387,398,403,410
Chitwan,849,849,661,869,174,828,1197,828,1529,1532,1571,1593,1624
Manang,38,38,38,32,39,39,39,40,41,41,42,42,42
Mustang,55,55,51,47,51,56,55,58,65,65,67,68,69
Gorkha,331,331,286,213,264,561,443,561,619,620,637,646,658
Lamjung,344,344,295,270,392,396,462,396,509,510,522,529,538
Tanahu,576,576,470,470,374,629,682,716,861,895,918,931,948
Syangja,521,521,531,582,632,804,767,901,1055,1044,1070,1084,1103
Kaski,1239,1239,1112,1297,1288,1400,1358,1400,1524,1527,1567,1588,1617
Myagdi,238,238,182,200,248,239,300,239,285,377,386,392,399
Parbat,334,334,278,288,351,362,391,362,496,496,507,514,523
Baglung,423,423,280,337,457,586,604,667,659,727,744,754,768
Gulmi,558,558,355,363,375,524,570,628,700,701,717,727,740
Palpa,463,463,339,326,541,520,305,675,832,834,854,865,880
Arghakhanchi,334,334,181,236,350,291,353,291,346,352,362,367,373
Nawalparasi,672,672,487,547,699,751,860,987,1119,1367,1400,1419,1445
Rupandehi,938,938,623,991,607,668,927,1004,1899,1903,1948,1974,2011
Kapilvastu,261,261,257,299,309,436,408,436,544,545,559,566,576
Dolpa,53,53,50,38,65,73,59,73,74,74,76,77,78
Jumla,94,94,79,51,47,105,96,105,162,163,168,170,173
Kalikot,100,100,90,77,124,146,156,221,278,279,286,290,295
Mugu,64,64,51,62,66,76,7,76,110,110,112,113,114
Humla,75,75,63,64,65,78,90,79,115,127,130,131,133
Pyuthan,153,153,124,112,184,233,316,316,365,366,375,380,386
Rolpa,169,169,134,183,214,211,244,296,405,406,416,421,427
Rukum,171,171,5,94,21,116,287,221,290,438,449,455,463
Salyan,184,184,42,115,213,181,243,197,203,204,209,211,215
Surkhet,424,424,331,258,428,499,587,502,650,651,668,677,689
Dailekh,173,173,196,150,242,290,230,290,313,353,362,367,373
Jajarkot,107,107,14,87,147,267,228,267,271,417,428,434,440
Dang,481,481,396,584,690,606,692,808,811,804,822,833,847
Banke,319,319,336,218,368,478,468,508,699,712,731,741,755
Bardiya,277,277,293,228,374,425,411,455,590,591,607,615,626
Bajura,133,133,124,151,179,188,168,202,384,385,395,400,406
Bajhang,173,173,129,151,267,292,316,365,498,500,511,518,526
Darchula,206,206,199,158,229,245,222,252,403,425,436,441,448
Achham,294,294,217,177,302,236,347,236,525,526,539,546,554
Doti,225,225,226,217,268,246,319,411,467,468,480,486,494
Dadeldhura,207,207,149,161,220,257,275,335,418,420,430,435,442
Baitadi,223,223,243,242,402,293,479,542,597,649,667,676,687
Kailali,425,425,249,506,913,406,778,622,825,924,946,958,974
Kanchanpur,337,337,171,472,435,606,619,606,606,625,643,651,662
Nepal,29740,29740,22817,26716,27903,37068,35194,40259,48848,50389,51653,52348,53301
